Coastal Sunset,1990-2006,seascape,NLW,nlw_nlw_kwf00046_large.jpeg
Storm from the Beach,1990-2006,seascape,NLW,nlw_nlw_kwf00142_large.jpeg
Stormy Sea  ,1990-2006,seascape,NLW,nlw_nlw_kwf00039_large.jpeg
Stormy Sea under a Dark Sky,1990-2006,seascape,NLW,nlw_nlw_kwf00009_large.jpeg
Wave on Stormy Sea,1990-2006,seascape,NLW,nlw_nlw_kwf00054_large.jpeg
Mackerel,1950,still life,NLW,nlw_nlw_gcf06607_large.jpeg
Dead hare in brown paper,1940-1950,still life,NLW,nlw_nlw_kwf00112_large.jpeg
Skeleton,1940-1950,still life,NLW,nlw_nlw_kwb01555_large.jpeg
Plucked Chicken,1950-1970,still life,NLW,nlw_nlw_kwf00115_large.jpeg
Male Nude,1940-1950,study,NLW,nlw_nlw_kwf00330_large.jpeg
Wave Breaking on Rocks,1950-1970,seascape,NLW,nlw_nlw_kwf00143_large.jpeg
"Farmers, Cwm Nantlle",1947,landscape,National Museum of Wales/ Amgueddfa Cymru,da001332
Sir Charles Evans,1965,portrait,National Museum of Wales/ Amgueddfa Cymru,nmwa3068
Moel Hebog,1952,landscape,National Museum of Wales/ Amgueddfa Cymru,da001333
Farmers of the Carneddau,1980,landscape,National Museum of Wales/ Amgueddfa Cymru,da003077
Huw T. Edwards,1960,portrait,National Museum of Wales/ Amgueddfa Cymru,da002998
Blaen Ffrancon no.1,1978,landscape,National Museum of Wales/ Amgueddfa Cymru,da000679
The Moelwyns from Aberglaslyn,1952,portrait,National Museum of Wales/ Amgueddfa Cymru,da003078
"Storm, Porth Cwyfan",1995,seascape,National Museum of Wales/ Amgueddfa Cymru,da000680
Mary,1950-1960,portrait,National Museum of Wales/ Amgueddfa Cymru,da003971
"Duffryncamwy, Patagonia",1969,landscape,National Museum of Wales/ Amgueddfa Cymru,da001089
William Lee,1979,portrait,National Museum of Wales/ Amgueddfa Cymru,da003972
"Cottages, Llanddona",1955,landscape,National Museum of Wales/ Amgueddfa Cymru,da001330
Snowdon from Llyn Nantle,1945,landscape,National Museum of Wales/ Amgueddfa Cymru,da006778_02_large
Anglesey Cottages with Cattle,1970,landscape,National Museum of Wales/ Amgueddfa Cymru,da001331
Snow on Siabod,1968,landscape,National Museum of Wales/ Amgueddfa Cymru,da001329
Winter at Fachwen,1967,landscape,GAC,gac_gac_11014_large
Farm below Crib Goch,1967,landscape,GAC,gac_gac_11015_large
Nant Ffrancon from Llandegfan,1970,landscape,GAC,gac_gac_13839_large
Pontllyfni in Snow,1977,landscape,GAC,gac_gac_13782_large
"Farms, Pont Darfach, no.1",1977,landscape,GAC,
"Snowdon, the Traeth and Frightened Horse",1948,landscape,Aberystwyth University,
Sir David Parry Hughes,1954,portrait,Aberystwyth University,
Sun and Cloud on Lliwedd,1973,landscape,Aberystwyth University,
Yolanta,1967,portrait,Oriel Mon,
"Farm, Llanddona",1958,landscape,Oriel Mon,
Hermon,unknown,landscape,Oriel Mon,
Lliwedd,1978,landscape,Oriel Mon,
Anglesey Landscape,1960,landscape,Oriel Mon,
Moelfre,unknown,landscape,Oriel Mon,
"Fedw, Penrhosllugwy",1948,landscape,Oriel Mon,
Storm at Trearddur,1987,landscape,Oriel Mon,
Miss Josling,1960,portrait,Oriel Mon,
"Allt Corn Yd, Llanddona",unknown,landscape,Oriel Mon,
Swtan,1947,landscape,Oriel Mon,
The Chelsea Pensioner,1980,portrait,Oriel Mon,
"Cottages, Mynydd Bodafon",1962,landscape,Oriel Mon,
Penmon Cross,unknown,landscape,Oriel Mon,
Farmer and Cattle,1957,landscape,Oriel Mon,
Evan Roberts,1990,landscape,Oriel Mon,
Farmers Below the ridge,1983,landscape,Oriel Mon,
Farm Ceserea,unknown,landscape,Oriel Mon,
Pilot Boat off Moelfre,1947,seascape,Oriel Mon,
Llannerchymedd Mill,1955,landscape,Oriel Mon,
View from Pwllfanogl,unknown,landscape,Oriel Mon,
Tan-y-Grisiau,unknown,landscape,Oriel Mon,
Moelwyn Bach,1960,landscape,Oriel Mon,
"Cottages, Llanrhuddlad",1955,landscape,Oriel Mon,
Mrs Rowlands,1984,portrait,Oriel Mon,
Snowstorm off Penmon,1961,landscape,Oriel Mon,
Capel Carmel,1958,landscape,Oriel Mon,
Sunset,unknown,seascape,Oriel Mon,
Dame Eileen Louise Younghusband,1965,portrait,NPG,npg_npg_6621_large.jpeg
"Cottages, Cilgwyn",unknown,landscape,MOMA Wales,nwm_yt_7_large.jpeg
"Waterfall, Ogwen",unknown,landscape,MOMA Wales,nwm_yt_42_large.jpeg
Dafydd Williams on the Mountain,1969,landscape,Royal Academy,wmr_raa_pl002115_large.jpeg
Blaen Nant,1976,landscape,Royal Academy,wmr_raa_03_580_large.jpeg
German Girl,1963,portrait,Royal Academy,wmr_raa_03_579_large.jpeg
Portrait of a Boy,1944,portrait,UCL Art Museum,lducs_uclac_pc5121_large.jpeg
Portrait of a Grey-Haired Woman,1943,portrait,UCL Art Museum,lducs_uclac_pc5125_large.jpeg
Hills above Nant Peris,unknown,landscape,Bangor University,
"Hugh Thomas, Portrait of a Farmer",1950,portrait,Bangor University,
Ponies at Betws Garmon,unknown,landscape,Bangor University,
"Dyfryn, Ceserea",unknown,landscape,Bangor University,
The Crucifixion,unknown,genre,Bangor University,
Snowdon from Drws y Coed,unknown,landscape,Bangor University,
Farmer on the Mountains,unknown,landscape,Bangor University,
Cloud and Hills above the Traeth,unknown,landscape,Bangor University,
Clouds above Crib Goch,unknown,landscape,Bangor University,
Hillside with Sheep Farmer and Dog,unknown,landscape,Bangor University,
"Fusilier Dean (The Depot, Wrexham, 1948)",1948,portrait,RWF Regimental Museum,nwm_rwfm_4001_large.jpeg
Royal Welchman in Scarlet,1948,portrait,RWF Regimental Museum,nwm_rwfm_5932_large.jpeg
"Corpral Norman Pritchard, Goat Major, 3rd Battalion",1983,portrait,RWF Regimental Museum,nwm_rwfm_8999zz_large.jpeg
